Transaction_ID,Date,Description,Amount,Payment_Method,Category
TXN000001,2026-06-29,CHATGPT PLUS SUBSCRIPTION,8773.44,Wallet,Bills
TXN000002,2024-11-17,POS RELIANCE DIGITAL,9681.57,Cash,Shopping
TXN000003,2024-03-09,ENT CONSULTATION,213.42,Credit Card,Healthcare
TXN000004,2024-08-16,KARAOKE NIGHT INDIA,486.19,Debit Card,Entertainment
TXN000005,2025-12-03,POS ANNUAL BONUS,215568.12,Net Banking,Income
TXN000006,2024-07-08,CAR FUEL INDIA,3492.59,Debit Card,Fuel
TXN000007,2024-12-25,UPI MCDONALD'S,1377.64,UPI,Food
TXN000008,2026-04-14,POS HOUSE RENT,29120.73,Debit Card,Rent
TXN000009,2024-03-20,WESTSIDE,5971.99,Credit Card,Shopping
TXN000010,2025-07-22,Client Payment,10998.33,Wallet,Income
TXN000011,2026-06-29,UDEMY COURSE ONLINE,52191.6,Credit Card,Education
TXN000012,2026-02-02,NATURAL ICE CREAM ONLINE,1127.46,Cash,Food
TXN000013,2026-01-03,Sovereign Gold Bond,17994.19,Cash,Investment
TXN000014,2024-10-01,Monthly Rent,22814.17,Net Banking,Rent
TXN000015,2024-07-18,POS NAYARA ENERGY FUEL,843.71,Debit Card,Fuel
TXN000016,2024-05-30,ELECTRONICS PURCHASE INDIA,23361.08,Net Banking,Shopping
TXN000017,2024-07-03,POS COMMISSION CREDIT,38001.5,Wallet,Income
TXN000018,2026-04-19,Snapdeal,18500.48,Wallet,Shopping
TXN000019,2026-05-02,HOUSE RENT INDIA,13184.08,Net Banking,Rent
TXN000020,2025-10-07,TOY STORE,20649.46,Credit Card,Shopping
TXN000021,2026-02-19,MEDICAL STORE PUNE,7255.06,UPI,Healthcare
TXN000022,2025-12-23,MAKEMYTRIP HOTEL,6480.52,Wallet,Travel
TXN000023,2025-05-18,Wealth Management,97963.1,Wallet,Investment
TXN000024,2025-09-13,NPTEL COURSE ONLINE,34230.27,Net Banking,Education
TXN000025,2025-06-20,POS ETHEREUM INVESTMENT,52311.6,Cash,Investment
TXN000026,2024-02-02,MRI SCAN PUNE,8729.86,Net Banking,Healthcare
TXN000027,2024-02-22,SKIN SPECIALIST ONLINE,8061.99,Credit Card,Healthcare
TXN000028,2024-07-22,KARAOKE NIGHT ONLINE,4488.14,Credit Card,Entertainment
TXN000029,2024-02-17,College Tuition Fee,65585.24,Cash,Education
