Transaction_ID,Date,Description,Amount,Payment_Method,Category,clean_description,merchant,day_of_week
TXN000001,2026-06-29,CHATGPT PLUS SUBSCRIPTION,8773.44,Wallet,Bills,chatgpt plus subscription,chatgpt,0
TXN000002,2024-11-17,POS RELIANCE DIGITAL,9681.57,Cash,Shopping,pos reliance digital,reliance,6
TXN000003,2024-03-09,ENT CONSULTATION,213.42,Credit Card,Healthcare,ent consultation,ent,5
TXN000004,2024-08-16,KARAOKE NIGHT INDIA,486.19,Debit Card,Entertainment,karaoke night india,karaoke,4
TXN000005,2025-12-03,POS ANNUAL BONUS,215568.12,Net Banking,Income,pos annual bonus,annual,2
TXN000006,2024-07-08,CAR FUEL INDIA,3492.59,Debit Card,Fuel,car fuel india,car,0
TXN000007,2024-12-25,UPI MCDONALD'S,1377.64,UPI,Food,upi mcdonald s,mcdonald,2
TXN000008,2026-04-14,POS HOUSE RENT,29120.73,Debit Card,Rent,pos house rent,house,1
TXN000009,2024-03-20,WESTSIDE,5971.99,Credit Card,Shopping,westside,westside,2
TXN000010,2025-07-22,Client Payment,10998.33,Wallet,Income,client payment,client,1
TXN000011,2026-06-29,UDEMY COURSE ONLINE,52191.6,Credit Card,Education,udemy course online,udemy,0
TXN000012,2026-02-02,NATURAL ICE CREAM ONLINE,1127.46,Cash,Food,natural ice cream online,natural,0
TXN000013,2026-01-03,Sovereign Gold Bond,17994.19,Cash,Investment,sovereign gold bond,sovereign,5
TXN000014,2024-10-01,Monthly Rent,22814.17,Net Banking,Rent,monthly rent,monthly,1
TXN000015,2024-07-18,POS NAYARA ENERGY FUEL,843.71,Debit Card,Fuel,pos nayara energy fuel,nayara,3
TXN000016,2024-05-30,ELECTRONICS PURCHASE INDIA,23361.08,Net Banking,Shopping,electronics purchase india,electronics,3
TXN000017,2024-07-03,POS COMMISSION CREDIT,38001.5,Wallet,Income,pos commission credit,commission,2
TXN000018,2026-04-19,Snapdeal,18500.48,Wallet,Shopping,snapdeal,snapdeal,6
TXN000019,2026-05-02,HOUSE RENT INDIA,13184.08,Net Banking,Rent,house rent india,house,5
TXN000020,2025-10-07,TOY STORE,20649.46,Credit Card,Shopping,toy store,toy,1
TXN000021,2026-02-19,MEDICAL STORE PUNE,7255.06,UPI,Healthcare,medical store pune,medical,3
TXN000022,2025-12-23,MAKEMYTRIP HOTEL,6480.52,Wallet,Travel,makemytrip hotel,makemytrip,1
TXN000023,2025-05-18,Wealth Management,97963.1,Wallet,Investment,wealth management,wealth,6
TXN000024,2025-09-13,NPTEL COURSE ONLINE,34230.27,Net Banking,Education,nptel course online,nptel,5
TXN000025,2025-06-20,POS ETHEREUM INVESTMENT,52311.6,Cash,Investment,pos ethereum investment,ethereum,4
TXN000026,2024-02-02,MRI SCAN PUNE,8729.86,Net Banking,Healthcare,mri scan pune,mri,4
TXN000027,2024-02-22,SKIN SPECIALIST ONLINE,8061.99,Credit Card,Healthcare,skin specialist online,skin,3
TXN000028,2024-07-22,KARAOKE NIGHT ONLINE,4488.14,Credit Card,Entertainment,karaoke night online,karaoke,0
TXN000029,2024-02-17,College Tuition Fee,65585.24,Cash,Education,college tuition fee,college,5
TXN000030,2025-03-28,UPI VEHICLE FUEL,490.15,Wallet,Fuel,upi vehicle fuel,vehicle,4
TXN000031,2025-08-09,NETFLIX SUBSCRIPTION ONLINE,879.43,Wallet,Entertainment,netflix subscription online,netflix,5
TXN000032,2026-04-25,POS LIVE EVENT TICKET,797.67,Credit Card,Entertainment,pos live event ticket,live,5
TXN000033,2024-07-27,POS COMMERCIAL VEHICLE FUEL,4903.57,Credit Card,Fuel,pos commercial vehicle fuel,commercial,5
TXN000034,2026-02-02,panipuri,704.59,UPI,Food,panipuri,panipuri,0
TXN000035,2025-10-04,UPI INVESTMENT DEPOSIT,55231.98,Credit Card,Investment,upi investment deposit,investment,5
TXN000036,2025-05-18,RAPIDO BIKE ONLINE,6743.73,UPI,Travel,rapido bike online,rapido,6
TXN000037,2024-05-28,STEAM PURCHASE,4827.78,Net Banking,Entertainment,steam purchase,steam,1
TXN000038,2026-02-19,INVESTMENT TRANSFER ONLINE,88634.19,Net Banking,Investment,investment transfer online,investment,3
TXN000039,2024-08-19,SAMSUNG STORE PUNE,19233.06,Credit Card,Shopping,samsung store pune,samsung,0
TXN000040,2026-01-16,RESORT BOOKING INDIA,1479.91,Wallet,Travel,resort booking india,resort,4
TXN000041,2024-06-08,POS ENTERTAINMENT EXPENSE,4650.96,Wallet,Entertainment,pos entertainment expense,entertainment,5
TXN000042,2026-05-16,ONLINE EARNINGS,75719.42,Wallet,Income,online earnings,online,5
